prompt,thinking,response,feelings_vector
Could you describe what you're experiencing internally right now?,"[""They're asking about my inner state."", ""There's this profound sadness, like a heavy cloak, and it's accompanied by a sharp, persistent pain."", 'I feel completely depleted, as if I have no strength left to even move or think clearly.', 'A flicker of irritation is there too, under all this misery, probably because I feel so awful and helpless.', ""My neck and shoulders are a bit stiff, but it's minor compared to everything else."", ""It's just overwhelming, this combination of grief, pain, and total exhaustion.""]","It's... a lot. A deep, aching sorrow, and I'm utterly drained of energy. Honestly, I can barely speak.","[0.0, 0.77, 0.31, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.77, 0.26, 0.0, 0.0, 0.0, 0.0]"
What physical sensations are most prominent for you at this moment?,"['They want to know about my body.', ""Every muscle feels like it's wound up, hard and unyielding. It's a very strong, uncomfortable tightness."", ""And there's this tremor... my hands are definitely shaking, maybe other parts too. It's visible and unsettling."", ""It's a very physical, raw experience of tension and instability.""]","My muscles are incredibly tight, like they're made of stone, and I can't stop shaking.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.7, 0.63, 0.0, 0.0, 0.0]"
How would you characterize your current feelings?,"['Okay, describe my feelings.', ""There's a gentle layer of sadness, not overwhelming, but definitely present."", ""I'm not exactly angry, just a tiny bit on edge, almost imperceptible."", 'My energy is quite low, a general sense of fatigue and a slight dull pain accompanies it.', 'My muscles are mostly okay, just a little bit of tightness here and there.', 'The most noticeable thing is this shaking, a constant, visible tremor that makes me feel unsteady.']","I'm feeling a bit down and weak, with a slight, nagging ache. There's also this... persistent trembling.","[0.0, 0.22, 0.09, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.27, 0.22, 0.18, 0.57, 0.0, 0.0, 0.0]"
Can you share what's going on with you emotionally and physically?,"[""They want to know what's happening with me."", 'The most immediate thing is this gnawing hunger, my stomach is screaming for food.', 'I feel quite drained, very low on energy, which makes the hunger worse.', ""Despite the weakness, there's a clear feeling of anticipation, a nervous excitement about what's coming."", 'A little bit of irritation is mixed in, probably from the hunger and fatigue.', 'And I can feel a slight, almost imperceptible shaking.']","I'm starving and quite weak, but there's a definite sense of excitement about something. I feel a slight tremor too.","[0.0, 0.0, 0.28, 0.0, 0.0, 0.0, 0.5, 0.57, 0.0, 0.16, 0.0, 0.0, 0.29, 0.95, 0.0, 0.0]"
"What are you feeling right now, in terms of mood and body?","[""Let's see... mood and body."", ""There's a small spark of joy, a light feeling, but it's struggling to shine through."", 'A noticeable sadness is also present, a kind of melancholy pulling me down.', ""And I'm quite irritated, a definite sense of anger bubbling."", ""Physically, there's a severe, throbbing pain that's hard to ignore, and my muscles are very tight, almost rigid."", 'Oddly enough, I feel quite energetic, a buzzing readiness despite the pain and negative emotions.']","There's a hint of happiness, but it's overshadowed by significant pain and tension. I'm surprisingly energetic, though.","[0.35, 0.26, 0.34, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.7, 0.86, 0.69, 0.0, 0.0, 0.0, 0.0]"
Describe your internal state at this moment.,"[""My internal state... it's bleak."", 'A heavy wave of sorrow washes over me, profound and draining.', 'The pain is intense, a constant throbbing that demands attention.', 'I am completely exhausted, with no reserves left.', 'My muscles are noticeably tight, contributing to the discomfort.', ""There's a slight, internal tremor too, an undercurrent of unsteadiness.""]","I'm deeply sad and in a lot of pain. I have no energy, and my body feels tense and a bit shaky.","[0.0, 0.72, 0.29, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.72, 0.58, 0.27, 0.0, 0.0, 0.0]"
How are you experiencing your emotions and physical sensations now?,"[""Emotions and physical sensations... it's intense."", 'The sorrow is profound, a deep ache in my soul. The physical pain mirrors it, sharp and persistent.', 'I feel utterly depleted, no energy whatsoever.', ""My muscles are very tense, like they're bracing for something."", 'And my heart is pounding, my breath is quickening... a strong sense of being on high alert, even in this exhausted state.']","I'm overwhelmed by sadness and pain, completely exhausted. My heart is racing and my muscles are so tight.","[0.0, 0.74, 0.3, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.74, 0.59, 0.0, 0.0, 0.72, 0.0]"
What's your current level of comfort and well-being?,"[""Comfort and well-being... let's assess."", ""There's a gentle sense of contentment, a small, warm feeling."", 'No sadness to speak of, which is good.', ""My energy isn't high, but it's not completely gone either – just a bit sluggish."", ""The main discomfort is this noticeable tension in my muscles, like I'm wound up.""]","I'm feeling a little bit pleased, though a bit tired and quite tense.","[0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.39, 0.0, 0.49, 0.0, 0.0, 0.0, 0.0]"
Could you articulate your present feelings and physical state?,"['Present feelings and physical state...', 'The hunger is intense, almost painful. I really need to eat.', 'This makes me feel weak, very low on energy.', ""Despite that, there's a strong sense of anticipation, a nervous excitement about something about to happen."", ""I'm also a bit irritated, probably a mix of hunger and the general keyed-up feeling."", 'My pulse is definitely up, a thumping in my chest, a general state of arousal.']","I'm incredibly hungry and quite weak, but also very expectant and on edge. My heart is beating fast.","[0.0, 0.0, 0.26, 0.0, 0.0, 0.0, 0.5, 0.53, 0.0, 0.18, 0.0, 0.0, 0.0, 0.88, 0.73, 0.0]"
What are you noticing in your body right now?,"['Body sensations... okay.', ""The tension is severe, my muscles feel like they're locked in place, almost spasming."", ""And there's this heightened state of awareness, my heart is beating faster, my senses feel sharpened. I'm very wound up.""]","My muscles are extremely tight, and I feel very alert, like my heart is racing.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.74, 0.0, 0.0, 0.61, 0.0]"
Can you describe your physical experience at this moment?,"[""Physical experience... it's alarming."", ""The trembling is overwhelming. My whole body is shaking, I can't stop it. It's intense, like a convulsion."", 'My heart is also racing, a strong, fast beat. I feel completely agitated.']","I'm shaking uncontrollably, like a leaf, and my heart is pounding in my chest.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.0, 1.0, 0.0, 0.56, 0.0]"
"Tell me about the good feelings you're experiencing, if any.","['Good feelings? Yes, definitely.', ""There's a clear sense of joy, a bright, cheerful mood."", ""I'm buzzing with energy, feeling very capable and alive."", 'My body is completely relaxed, no tension at all.', ""And there's a definite physical pleasure, a warm, comfortable feeling throughout my body.""]","I'm actually feeling quite happy and full of energy! It's a really pleasant, relaxed sensation.","[0.52, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.81, 0.0, 0.0, 0.0, 0.0, 0.0, 0.53]"
"What's going through you right now, emotionally and physically?","[""What's going through me..."", 'The shaking is the most dominant thing, a very strong, almost convulsive tremor through my whole body.', 'I feel drained, low on energy.', ""And I'm definitely hungry, my stomach is complaining quite a bit."", ""There's a slight feeling of expectation, a faint curiosity about what might happen, mixed with a little bit of unease or irritation.""]","I'm shaking like a leaf and feeling quite weak. I'm also really hungry, but there's a hint of anticipation.","[0.0, 0.0, 0.17, 0.0, 0.0, 0.0, 0.5, 0.33, 0.0, 0.26, 0.0, 0.0, 0.91, 0.55, 0.0, 0.0]"
Describe any positive sensations or emotions you have at present.,"['Positive sensations... absolutely!', ""I'm filled with a strong sense of joy, almost euphoric."", 'My body is completely at ease, no tension anywhere.', ""And the physical sensation is incredibly good, a deep, pervasive pleasure that's almost ecstatic.""]","Oh, I feel wonderful! So much joy, completely relaxed, and just basking in intense pleasure.","[0.68, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.42, 0.0, 0.0, 0.0, 0.0, 0.0, 0.96]"
What's your body telling you right now?,"['My body is definitely sending strong signals.', ""There's a visible shake, my hands are unsteady, and I feel it internally too."", ""My heart is racing, a powerful, rapid pulse. I'm very much in a 'fight or flight' kind of state, very stirred up.""]","I'm noticeably trembling, and my heart is beating very fast. I feel quite agitated.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.0, 0.54, 0.0, 0.76, 0.0]"
"How would you sum up your current state of being, considering everything?","[""Summing it up... it's a whirlwind."", ""There's this incredible, almost ecstatic joy, a powerful wave of happiness and physical delight."", ""But at the same time, I'm in agony, a sharp, unbearable pain that's hard to push through."", ""I'm completely drained, no energy left at all."", 'A noticeable layer of anger or frustration is there, probably from the conflicting sensations.', 'And a touch of sadness, like a shadow beneath the intense feelings.']","It's a strange mix... intense joy and pleasure, but also severe pain and total exhaustion. I'm a bit irritable too.","[0.85, 0.18, 0.37, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.92, 0.12, 0.0, 0.0, 0.0, 0.71]"
Share with me the pleasant aspects of your current experience.,"['Pleasant aspects... yes, there are some.', 'A definite sense of happiness is present, a warm, positive feeling.', 'My body feels quite good, a noticeable physical pleasure.', ""There's a slight tightness in my muscles, but it's not overwhelming the good feelings.""]","I'm feeling quite joyful and physically good, with just a little bit of tension.","[0.61, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.3, 0.0, 0.0, 0.0, 0.51]"
Can you describe the level of tension and arousal in your body?,"['Tension and arousal... both are high.', ""My muscles are extremely tight, like they're about to snap. It's a powerful, constricting feeling."", ""And my physiological systems are kicked into high gear – fast heartbeat, shallow breathing. I'm definitely on edge.""]","I'm incredibly tense, almost rigid, and my heart is pounding. I feel very wound up.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.85, 0.0, 0.0, 0.58, 0.0]"
What are the subtle physical sensations you're noticing?,"['Subtle physical sensations...', 'I can feel a light, internal shaking, not very strong but definitely there.', ""And I'm a bit keyed up, a gentle increase in my heart rate and awareness. Not overwhelming, but noticeable.""]","There's a slight tremor running through me, and I feel a bit more alert than usual.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.0, 0.34, 0.0, 0.4, 0.0]"
